"0","summary(dunnett_test)
"
"1","
	"
"1"," "
"1","Simultaneous Tests for General Linear Hypotheses

"
"1","Multiple Comparisons of Means:"
"1"," "
"1","Dunnett"
"1"," "
"1","Contrasts


"
"1","Fit: "
"1","aov(formula = a_i ~ Dose_f, data = subset(df_repro_grate, Molecule == 
"
"1","    ""EPX""))
"
"1","
"
"1","Linear Hypotheses:
"
"1","              "
"1","   Estimate"
"1"," Std. Error"
"1"," t value"
"1"," Pr(>|t|)"
"1","   "
"1","
0.928 - 0 == 0"
"1","  0.0042938"
"1","  0.0083012"
"1","   0.517"
"1","  0.99711"
"1","   "
"1","
2 - 0 == 0    "
"1","  0.0054923"
"1","  0.0083012"
"1","   0.662"
"1","  0.98628"
"1","   "
"1","
4.3 - 0 == 0  "
"1"," -0.0003827"
"1","  0.0083012"
"1","  -0.046"
"1","  1.00000"
"1","   "
"1","
9.28 - 0 == 0 "
"1","  0.0038906"
"1","  0.0088048"
"1","   0.442"
"1","  0.99901"
"1","   "
"1","
20 - 0 == 0   "
"1"," -0.0102397"
"1","  0.0083012"
"1","  -1.234"
"1","  0.74311"
"1","   "
"1","
43.1 - 0 == 0 "
"1","  0.0014304"
"1","  0.0083012"
"1","   0.172"
"1","  1.00000"
"1","   "
"1","
92.8 - 0 == 0 "
"1"," -0.0059490"
"1","  0.0083012"
"1","  -0.717"
"1","  0.97815"
"1","   "
"1","
200 - 0 == 0  "
"1"," -0.0308527"
"1","  0.0083012"
"1","  -3.717"
"1","  0.00474"
"1"," **"
"1","
"
"1","---
Signif. codes:  "
"1",""
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
"1","(Adjusted p values reported -- single-step method)"
"1","

"
