 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.162,99.503,54.000,138.064,129.201,67.924,57.381,3.083
2,0.129,104.379,86.616,146.667,129.097,67.950,-32.005,2.450
3,0.216,66.449,44.371,91.667,126.215,69.170,47.579,4.080
4,0.132,73.524,34.667,96.562,126.111,69.508,-46.685,2.498
5,0.175,87.657,38.000,122.631,127.929,71.455,57.051,3.342
6,0.132,92.515,46.667,123.000,127.877,71.351,-39.036,2.474
7,0.200,97.341,56.000,185.744,125.358,73.195,-86.864,3.797
8,0.138,95.097,69.173,105.387,125.514,73.351,1.146,2.597
9,0.175,98.117,62.914,132.003,122.918,80.231,-25.769,3.345
10,0.135,100.794,84.619,135.667,123.151,80.076,59.237,2.538
11,0.183,70.380,49.313,123.000,126.423,80.257,-31.551,3.473
12,0.138,77.793,62.520,122.333,126.267,80.387,57.265,2.593
13,0.189,84.230,62.089,133.333,134.187,81.062,-46.169,3.599
14,0.124,90.488,78.631,124.667,134.083,81.036,40.462,2.321
15,0.175,85.412,54.000,149.167,115.803,85.113,-86.424,3.330
16,0.140,91.293,55.667,155.882,115.829,85.295,1.123,2.649
17,0.181,79.951,42.455,151.182,116.452,89.008,-87.397,3.431
18,0.129,89.160,80.496,148.333,116.504,88.904,2.437,2.443
19,0.175,73.022,53.546,82.704,121.594,87.112,-56.560,3.298
20,0.129,84.347,68.317,114.667,121.412,87.320,32.005,2.450
21,0.162,105.608,62.204,152.562,128.682,88.644,-99.782,3.056
22,0.129,112.944,94.071,155.667,128.708,88.540,-7.275,2.461
