 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.218,100.574,57.667,166.587,98.659,86.093,53.130,4.154
2,0.132,95.274,75.922,126.531,98.711,86.015,-40.732,2.467
3,0.181,74.065,44.384,127.848,101.566,86.041,-83.089,3.452
4,0.132,75.005,56.042,110.000,101.618,86.170,3.576,2.497
5,0.208,119.248,90.000,187.971,106.499,82.250,63.435,3.948
6,0.140,116.453,108.742,144.333,106.707,82.094,-25.560,2.648
7,0.216,90.178,67.629,112.628,107.798,85.937,-82.694,4.083
8,0.097,88.172,57.476,108.333,107.460,86.170,8.130,1.836
9,0.218,100.142,80.600,139.740,109.875,87.624,59.899,4.141
10,0.124,96.267,72.667,141.333,110.004,87.469,-30.530,2.351
