 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.156,108.681,73.370,118.938,10.848,97.217,-62.802,3.534
2,0.114,118.037,107.989,132.333,10.957,97.196,31.799,2.568
3,0.192,102.053,49.468,182.717,29.859,88.879,-51.520,4.350
4,0.122,99.465,56.333,123.000,29.903,88.858,33.944,2.736
5,0.137,88.176,63.714,105.976,32.566,87.177,21.501,3.097
6,0.107,90.410,60.333,119.667,32.697,87.330,-73.202,2.417
7,0.151,64.842,28.453,86.385,33.199,90.080,56.514,3.402
8,0.114,67.663,59.000,75.746,32.915,90.036,-38.811,2.577
9,0.183,94.499,83.218,127.333,31.213,92.132,-22.805,4.167
10,0.103,87.659,60.042,101.333,31.103,92.132,-118.009,2.324
11,0.145,95.105,56.445,167.945,34.705,91.564,-120.311,3.287
12,0.095,107.290,71.000,167.169,34.705,91.673,-31.759,2.156
13,0.177,93.457,70.527,164.667,30.034,94.314,-23.772,4.007
14,0.107,97.059,72.853,128.333,29.903,94.314,63.905,2.382
