 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.171,66.188,50.663,109.667,42.630,79.866,-23.962,3.411
2,0.108,73.889,49.333,111.602,42.828,79.915,-113.025,2.151
3,0.169,63.127,36.195,103.165,41.813,82.241,20.556,3.382
4,0.122,72.185,40.925,126.724,41.813,81.969,-66.038,2.437
5,0.169,84.517,53.422,117.333,41.566,84.468,1.685,3.366
6,0.110,94.784,75.364,127.576,41.714,84.418,-84.806,2.186
7,0.167,71.498,29.165,88.000,46.514,82.290,30.379,3.327
8,0.142,76.630,60.160,116.333,46.489,82.191,-61.631,2.812
9,0.171,75.794,51.667,121.833,49.161,82.538,53.791,3.434
10,0.115,74.669,48.849,83.445,49.087,82.563,-38.853,2.287
11,0.167,101.088,63.000,121.170,50.968,84.567,53.471,3.325
12,0.127,104.903,75.608,137.333,50.794,84.443,-37.093,2.543
13,0.142,93.875,66.000,106.295,37.855,91.841,-24.775,2.834
14,0.122,102.085,83.000,128.667,38.028,91.940,-115.514,2.413
15,0.162,90.432,62.731,142.152,35.108,96.121,-15.101,3.229
16,0.113,88.561,60.000,154.088,35.281,96.047,-110.854,2.224
17,0.159,74.558,44.521,153.073,37.162,94.265,1.790,3.168
18,0.110,80.629,65.076,121.803,37.236,94.315,-86.100,2.182
19,0.179,55.338,25.667,65.000,40.477,93.300,-3.972,3.571
20,0.118,63.504,50.695,98.000,40.675,93.548,-92.437,2.328
21,0.162,85.653,53.667,100.000,42.555,96.047,-49.970,3.231
22,0.125,95.159,78.025,125.000,42.358,96.047,43.363,2.450
23,0.176,85.415,51.000,101.911,45.302,95.601,-19.708,3.522
24,0.118,100.435,87.333,145.710,45.524,95.626,-112.714,2.307
25,0.169,93.126,57.000,111.333,45.673,97.977,0.000,3.365
26,0.120,102.259,67.667,121.333,45.574,98.125,-90.000,2.375
27,0.171,72.850,54.468,107.000,70.538,96.443,-63.435,3.430
28,0.127,83.033,74.222,138.333,70.563,96.517,26.565,2.545
29,0.159,100.780,59.417,155.000,73.383,97.828,5.356,3.181
30,0.132,115.635,92.176,157.000,73.383,98.001,-85.684,2.630
