 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.178,101.566,62.134,159.085,44.439,84.122,-51.072,3.418
2,0.131,107.251,82.667,128.000,44.567,84.020,40.855,2.502
3,0.162,88.996,59.213,106.667,53.081,86.193,-53.696,3.109
4,0.131,87.943,76.867,117.333,53.132,86.295,39.207,2.508
5,0.170,80.816,57.823,114.333,54.232,88.724,10.784,3.280
6,0.131,89.839,68.238,151.000,54.257,88.826,-78.232,2.507
7,0.170,74.121,52.333,99.333,60.777,87.318,-80.096,3.270
8,0.133,80.054,60.733,95.667,60.905,87.369,7.970,2.582
9,0.170,79.381,59.771,139.000,63.309,87.829,-79.216,3.280
10,0.123,75.931,59.831,133.486,63.411,87.932,18.825,2.377
11,0.188,99.223,40.693,134.498,65.329,85.426,-103.841,3.634
12,0.139,106.686,90.333,114.667,65.201,85.477,-14.574,2.642
13,0.170,107.617,76.664,126.065,65.763,89.057,59.808,3.254
14,0.118,107.507,75.667,122.273,65.584,88.980,-32.969,2.255
15,0.180,88.558,60.028,135.333,51.803,99.617,55.840,3.461
16,0.133,96.052,89.406,149.333,51.726,99.744,-38.480,2.548
17,0.170,83.515,54.521,148.307,58.757,106.955,0.895,3.273
18,0.136,84.549,63.307,133.333,58.706,106.853,-85.515,2.616
19,0.175,76.975,62.727,97.449,65.303,102.762,-77.845,3.400
20,0.133,90.515,72.073,103.000,65.047,103.017,15.154,2.543
21,0.173,66.790,49.793,124.667,64.076,106.827,-98.881,3.313
22,0.126,75.651,42.670,104.544,63.973,107.159,-11.070,2.397
23,0.183,70.803,34.682,95.157,67.630,105.907,-37.367,3.539
24,0.126,86.329,74.693,140.195,67.553,106.009,50.194,2.396
25,0.173,74.096,49.123,125.705,65.866,108.668,-111.801,3.305
26,0.133,81.910,60.885,96.986,65.891,108.821,-20.956,2.574
27,0.183,88.515,49.836,178.643,68.550,109.000,55.620,3.532
28,0.141,96.616,63.000,161.000,68.499,109.077,-31.891,2.710
