 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.166,87.678,80.308,119.333,26.557,71.518,52.067,3.769
2,0.115,82.622,63.169,114.333,26.470,71.584,-36.674,2.562
3,0.168,83.968,67.667,102.000,27.737,73.595,32.775,3.795
4,0.115,91.368,57.667,142.333,27.759,73.857,-52.549,2.588
5,0.178,91.294,53.332,110.275,43.846,75.584,-62.879,4.028
6,0.117,93.024,85.389,127.000,43.672,75.671,29.982,2.624
7,0.147,84.304,37.216,120.255,46.710,77.442,8.344,3.314
8,0.117,95.440,83.590,164.000,46.710,77.354,-79.439,2.624
9,0.159,74.998,39.951,98.683,30.994,89.004,-5.572,3.602
10,0.118,94.650,83.169,140.667,31.169,88.983,-93.752,2.672
