 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.147,96.282,80.667,138.011,42.749,71.545,-13.496,3.353
2,0.093,102.316,81.829,154.155,42.922,71.566,-103.173,2.098
3,0.155,85.113,69.766,119.667,25.254,82.150,-65.323,3.540
4,0.111,74.686,62.990,116.000,25.275,82.150,18.122,2.515
5,0.161,62.982,40.489,155.000,24.623,84.954,-63.741,3.635
6,0.108,57.438,43.095,98.667,24.580,85.063,25.201,2.450
7,0.145,77.720,63.667,100.439,37.076,84.715,4.514,3.314
8,0.110,86.629,70.924,128.667,37.055,84.650,-84.987,2.487
9,0.168,83.851,47.567,146.457,24.189,92.908,-42.230,3.816
10,0.110,95.058,64.537,166.057,24.276,92.865,43.568,2.460
11,0.155,78.922,66.914,99.725,27.210,95.559,-24.034,3.522
12,0.096,85.782,65.314,111.293,27.210,95.516,58.841,2.184
13,0.159,85.084,59.333,120.976,26.688,98.993,-85.865,3.617
14,0.113,88.944,81.000,125.333,26.666,99.232,0.000,2.564
15,0.142,64.099,58.198,77.667,26.905,102.405,45.000,3.196
16,0.108,67.659,59.625,109.667,26.949,102.601,-47.175,2.430
17,0.151,82.700,62.361,126.784,26.862,106.035,-107.745,3.423
18,0.111,86.273,69.011,142.667,26.862,106.252,-21.251,2.518
19,0.136,86.753,76.666,101.667,35.903,122.052,-8.130,3.073
20,0.096,91.696,79.700,117.000,36.055,121.965,-95.711,2.184
21,0.168,70.498,61.125,89.334,43.944,118.683,61.390,3.812
22,0.102,66.008,48.611,97.650,43.900,118.662,-29.476,2.297
23,0.147,60.811,43.463,103.333,45.943,120.552,-76.504,3.353
24,0.098,61.908,51.130,100.333,45.726,120.661,9.090,2.201
25,0.144,77.896,49.819,87.554,47.356,118.596,-45.000,3.258
26,0.091,98.635,70.000,157.300,47.269,118.531,45.855,2.059
