 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.183,87.536,49.612,129.333,39.981,81.887,49.399,3.641
2,0.139,103.104,89.698,163.000,39.882,81.862,-41.379,2.763
3,0.210,72.595,44.018,117.333,49.310,86.527,-15.018,4.191
4,0.132,78.249,64.762,137.000,49.359,86.502,74.650,2.610
5,0.195,82.350,39.368,98.727,47.730,88.082,-48.608,3.882
6,0.105,83.083,64.667,98.639,47.582,88.304,45.000,2.094
7,0.153,79.392,47.000,99.951,46.718,90.475,-45.659,3.037
8,0.127,80.585,58.000,91.821,46.768,90.599,43.409,2.514
9,0.219,80.911,49.844,112.000,43.288,91.142,-101.689,4.385
10,0.136,79.037,43.667,91.333,43.461,91.339,-13.782,2.694
11,0.183,71.192,50.738,102.126,46.003,92.943,-59.300,3.674
12,0.127,69.603,38.518,113.667,45.953,93.017,26.565,2.539
13,0.183,76.833,34.788,132.000,48.792,93.116,-37.333,3.663
14,0.122,82.280,62.000,110.000,48.693,93.240,50.793,2.421
15,0.207,79.318,45.667,118.690,51.408,92.894,-62.210,4.129
16,0.132,84.969,51.333,142.000,51.580,92.845,24.624,2.606
17,0.171,94.983,61.333,128.275,61.625,93.264,-24.717,3.423
18,0.124,109.944,93.000,156.157,61.773,93.462,59.826,2.455
19,0.192,69.434,50.816,123.333,42.819,101.606,42.917,3.842
20,0.134,78.892,57.000,156.333,42.745,101.557,-45.744,2.688
