 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.182,102.038,78.114,124.333,107.414,78.016,3.417,3.477
2,0.129,105.471,93.199,143.043,107.414,78.042,-83.928,2.448
3,0.182,88.930,58.527,152.268,102.415,89.827,57.265,3.449
4,0.126,96.167,78.328,140.333,102.389,89.879,-37.117,2.404
5,0.188,88.956,63.517,120.000,111.506,87.288,18.699,3.555
6,0.129,96.552,49.333,125.015,111.584,87.211,-65.056,2.457
7,0.207,95.868,55.333,156.319,115.366,86.693,11.459,3.911
8,0.142,95.810,86.613,103.930,115.236,86.589,-77.829,2.703
9,0.209,88.870,49.783,128.763,113.993,89.205,-26.232,3.985
10,0.137,92.750,55.667,140.135,114.123,89.127,-116.053,2.595
11,0.182,106.440,59.399,136.038,119.484,83.300,-73.465,3.458
12,0.142,112.190,102.667,124.836,119.691,83.300,18.083,2.670
