 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.156,82.913,60.165,116.667,36.987,68.694,73.571,3.549
2,0.126,90.478,74.112,129.000,37.096,68.847,-22.620,2.837
3,0.143,85.934,57.906,105.333,50.778,63.108,31.097,3.211
4,0.120,105.285,94.364,152.333,50.909,63.260,-55.539,2.700
5,0.149,98.352,68.459,108.216,49.884,65.726,-16.557,3.369
6,0.110,107.083,85.999,134.667,49.818,65.879,68.385,2.488
7,0.185,60.154,45.667,74.667,48.945,75.328,-13.309,4.171
8,0.135,69.767,54.895,119.333,48.836,75.240,71.565,3.036
9,0.162,82.294,68.857,99.000,50.102,78.121,1.364,3.667
10,0.124,85.569,71.667,132.333,50.102,77.990,-90.000,2.793
11,0.141,94.871,86.621,118.667,64.919,78.186,-66.595,3.186
12,0.114,97.289,87.762,142.333,64.766,78.273,27.440,2.557
13,0.139,78.390,59.444,101.333,51.499,93.439,-6.340,3.162
14,0.114,90.486,81.164,129.667,51.542,93.461,-93.879,2.581
15,0.152,77.137,60.478,130.835,33.692,105.987,40.365,3.437
16,0.110,75.505,57.233,114.333,33.649,105.987,-45.707,2.500
17,0.154,90.458,70.067,127.333,32.579,103.455,39.898,3.470
18,0.118,94.093,62.000,136.000,32.427,103.608,-48.991,2.660
19,0.162,86.658,61.071,139.667,25.204,90.973,66.801,3.656
20,0.126,93.269,82.815,132.667,25.051,91.083,-23.429,2.854
