 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.170,84.104,62.057,149.000,44.740,81.345,37.367,3.412
2,0.126,91.300,75.216,136.667,44.814,81.345,-48.180,2.514
3,0.180,107.139,78.266,122.000,54.797,83.539,-13.465,3.599
4,0.126,117.695,106.311,137.802,54.896,83.613,-114.538,2.493
5,0.185,85.541,65.585,130.000,50.286,89.184,-64.799,3.705
6,0.119,92.118,81.060,156.000,50.138,89.579,24.444,2.383
7,0.170,74.636,56.658,93.667,50.360,92.241,-39.699,3.396
8,0.109,79.532,58.979,115.667,50.360,92.364,48.691,2.166
9,0.165,96.902,67.961,110.286,65.323,84.303,-59.621,3.315
10,0.129,115.640,102.757,153.895,65.150,84.575,33.996,2.557
11,0.163,104.292,73.919,121.667,59.604,91.698,-109.537,3.243
12,0.129,112.062,99.525,155.333,59.456,91.698,-22.620,2.564
13,0.177,103.091,68.272,117.667,55.759,103.654,27.277,3.550
14,0.136,118.293,105.018,162.120,55.759,103.678,-61.557,2.691
15,0.165,77.571,59.199,95.781,52.875,105.503,-1.710,3.305
16,0.105,93.868,79.000,160.000,52.948,105.404,-90.000,2.071
17,0.175,84.416,47.925,115.000,53.368,107.672,-4.830,3.513
18,0.107,86.710,62.248,104.667,53.515,107.696,-93.991,2.125
19,0.160,95.575,65.564,107.954,52.382,109.816,2.643,3.208
20,0.122,105.704,77.544,151.667,52.505,109.915,-87.663,2.418
