 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.163,104.640,65.531,127.862,50.471,72.690,-50.648,3.210
2,0.145,118.119,103.592,171.517,50.446,72.839,38.047,2.900
3,0.165,96.900,64.000,142.606,44.935,86.791,-86.532,3.283
4,0.143,92.803,78.877,112.333,45.059,87.188,2.010,2.832
5,0.150,88.371,41.229,102.167,46.747,89.869,-60.852,2.956
6,0.121,107.049,84.917,160.752,46.821,89.968,33.024,2.369
7,0.150,109.511,93.667,117.869,44.388,91.061,-39.560,2.962
8,0.133,112.542,93.495,144.000,44.165,91.110,48.814,2.639
9,0.163,100.774,69.790,121.533,75.073,92.774,-88.238,3.229
10,0.121,99.662,72.000,123.000,74.874,92.799,4.764,2.392
11,0.173,79.242,56.059,89.159,55.783,97.789,-23.199,3.403
12,0.126,90.154,59.667,129.880,55.783,97.962,-117.597,2.465
13,0.158,85.088,49.074,123.365,56.032,100.544,3.633,3.134
14,0.118,84.501,58.667,98.667,55.982,100.519,-88.781,2.334
15,0.148,102.468,48.667,127.973,54.542,104.640,-136.364,2.950
16,0.138,116.695,108.000,160.342,54.443,104.715,-41.285,2.709
17,0.168,91.299,61.619,135.465,51.836,108.017,-109.250,3.313
18,0.136,100.793,84.231,133.454,51.811,108.240,-24.179,2.667
19,0.160,101.549,47.000,160.240,58.589,102.431,14.470,3.179
20,0.131,112.071,81.635,127.196,58.465,102.282,-75.426,2.565
21,0.158,89.871,60.000,110.059,61.866,102.034,-30.651,3.117
22,0.145,101.552,90.029,128.667,62.139,102.034,-115.677,2.865
23,0.175,83.264,60.922,128.333,64.795,102.232,-66.371,3.469
24,0.133,83.023,69.545,114.667,64.944,102.282,29.476,2.624
25,0.177,99.415,63.667,120.333,75.048,92.724,-89.193,3.526
26,0.121,101.211,78.667,123.000,74.874,92.948,0.000,2.383
