 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.161,121.858,114.000,130.990,32.850,94.376,-50.371,3.632
2,0.105,124.440,109.000,142.037,32.785,94.639,38.991,2.362
3,0.162,97.894,79.111,134.000,39.779,100.409,-95.440,3.689
4,0.109,100.737,91.345,128.333,39.910,100.584,-2.045,2.449
5,0.172,89.608,49.951,112.765,63.012,75.580,-32.619,3.892
6,0.115,103.692,70.819,157.210,63.100,75.558,56.041,2.582
7,0.174,81.209,57.000,93.667,60.652,77.153,-19.440,3.940
8,0.105,85.021,70.019,131.667,60.521,77.219,69.567,2.379
9,0.162,80.219,64.191,94.792,51.975,78.618,-74.805,3.669
10,0.111,77.822,63.895,100.000,51.865,78.683,14.281,2.481
11,0.153,94.495,79.218,140.387,50.576,80.978,-50.659,3.448
12,0.090,94.975,86.048,122.901,50.707,80.978,42.357,2.011
13,0.161,84.853,63.255,154.667,60.455,91.732,61.280,3.639
14,0.113,87.474,76.314,167.333,60.368,91.666,-33.690,2.522
15,0.157,93.978,70.198,109.333,47.625,89.306,2.827,3.545
16,0.103,107.556,92.063,173.447,47.516,89.371,-87.839,2.318
17,0.149,71.613,40.369,89.667,51.144,90.857,-20.556,3.361
18,0.124,85.005,65.617,157.401,50.969,90.857,71.847,2.806
19,0.153,100.320,81.874,155.286,48.674,93.152,73.163,3.471
20,0.101,100.493,92.333,126.333,48.587,93.196,-18.083,2.253
21,0.159,89.522,59.975,103.753,51.865,93.218,26.878,3.578
22,0.094,91.857,63.057,121.513,51.844,93.436,-62.904,2.111
23,0.147,87.362,59.194,111.500,53.308,95.229,59.036,3.314
24,0.117,97.773,74.333,142.667,53.308,95.513,-32.106,2.632
