 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.191,79.610,45.374,102.956,64.305,82.493,48.180,3.811
2,0.139,89.563,76.820,128.333,64.480,82.493,-33.977,2.764
3,0.176,103.458,60.224,130.057,62.611,89.644,-89.182,3.488
4,0.137,116.048,112.667,123.000,62.785,89.843,0.000,2.691
5,0.166,85.504,50.013,118.002,71.431,89.021,-106.783,3.279
6,0.139,95.226,82.455,120.000,71.306,89.120,-20.072,2.759
7,0.164,92.176,56.239,107.333,47.488,93.480,-42.510,3.245
8,0.124,94.886,75.751,116.333,47.812,93.530,-129.207,2.444
9,0.179,86.395,48.813,101.734,47.288,95.872,-16.390,3.532
10,0.122,98.450,76.667,148.296,47.189,96.171,-114.444,2.408
11,0.169,85.608,72.768,103.254,37.895,105.190,-43.191,3.349
12,0.117,85.048,62.151,99.494,38.045,105.141,-135.881,2.291
13,0.164,89.623,68.840,138.172,56.208,95.025,-130.030,3.254
14,0.132,90.961,61.803,131.667,56.009,94.801,-36.431,2.601
15,0.154,76.472,49.000,130.148,58.924,95.947,4.686,3.050
16,0.132,80.252,57.000,99.000,58.949,95.922,-90.000,2.591
17,0.179,68.344,40.333,89.441,57.379,98.289,-2.420,3.541
18,0.117,64.826,48.333,76.449,57.304,98.115,-92.490,2.294
19,0.164,69.149,30.333,82.607,56.906,102.475,18.712,3.262
20,0.122,87.580,57.347,127.701,56.930,102.525,-63.970,2.385
21,0.194,66.293,45.333,106.772,52.919,105.938,31.218,3.846
22,0.146,68.052,34.568,107.000,52.720,105.888,-51.953,2.911
23,0.189,61.243,27.432,75.333,58.600,104.343,21.801,3.757
24,0.129,72.000,50.667,117.000,58.650,104.617,-66.949,2.545
25,0.166,80.886,51.894,98.397,69.164,98.837,-20.353,3.295
26,0.127,83.916,61.333,122.461,69.313,99.061,-118.610,2.497
27,0.166,80.039,64.879,115.419,68.516,102.026,-56.793,3.276
28,0.119,80.456,52.333,118.000,68.317,102.226,32.005,2.350
29,0.181,64.512,42.333,96.000,71.182,101.254,170.407,3.588
30,0.142,78.857,55.639,118.333,71.281,101.403,-103.536,2.768
