 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.163,64.262,28.926,84.083,31.915,103.848,8.881,3.220
2,0.124,83.362,67.966,109.000,31.890,103.872,-84.174,2.449
3,0.168,91.187,55.545,106.134,34.500,105.140,8.616,3.318
4,0.131,101.566,85.641,130.705,34.624,104.991,-88.898,2.585
5,0.180,72.069,43.333,90.806,45.337,101.138,5.553,3.596
6,0.131,83.145,46.333,150.333,45.486,101.263,-90.000,2.585
7,0.171,76.024,49.907,96.333,45.735,98.603,4.205,3.390
8,0.129,82.782,38.000,103.902,45.710,98.653,-91.123,2.536
9,0.173,67.418,51.000,98.652,43.697,96.764,47.951,3.414
10,0.136,73.167,41.285,126.333,43.746,96.764,-42.769,2.709
11,0.180,66.733,32.852,102.000,50.358,92.016,63.435,3.557
12,0.136,80.627,58.976,124.000,50.333,92.091,-25.145,2.691
13,0.151,75.451,39.698,115.373,47.599,92.140,79.439,2.984
14,0.129,85.123,53.667,103.490,47.549,92.091,-5.599,2.547
15,0.185,68.500,35.820,88.374,46.630,89.357,2.322,3.682
16,0.111,78.039,41.636,128.879,46.630,89.580,-84.806,2.196
17,0.188,49.944,32.333,65.947,46.331,86.995,25.201,3.736
18,0.121,60.267,47.646,96.833,46.356,87.020,-63.970,2.379
19,0.166,106.742,62.556,118.667,39.670,89.158,0.868,3.281
20,0.136,117.611,104.914,133.111,39.769,89.133,-87.879,2.686
21,0.175,57.878,45.000,80.333,50.507,86.399,0.000,3.480
22,0.131,69.984,57.000,91.667,50.631,86.299,-93.302,2.589
23,0.178,83.021,61.616,113.780,52.123,84.038,-56.535,3.516
24,0.121,79.983,58.510,122.000,52.247,84.187,34.019,2.399
