 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.177,105.018,63.727,115.913,38.755,75.110,12.529,4.024
2,0.120,118.632,109.142,156.667,38.864,75.328,-75.964,2.699
3,0.168,93.116,66.651,114.788,46.437,81.242,-36.076,3.780
4,0.103,98.875,84.348,119.354,46.393,81.177,52.696,2.304
5,0.164,91.309,61.913,104.204,44.014,82.115,-30.500,3.698
6,0.110,98.849,78.596,114.695,44.014,82.224,54.345,2.471
7,0.170,86.096,63.099,110.667,42.880,84.384,-40.389,3.839
8,0.097,97.139,79.541,136.803,42.901,84.341,44.193,2.191
9,0.166,86.188,72.333,96.000,50.888,93.222,-90.000,3.753
10,0.124,94.368,80.573,171.000,50.626,93.266,-1.790,2.795
11,0.160,95.900,72.124,136.000,30.681,101.711,41.576,3.617
12,0.110,105.992,98.287,138.000,30.725,101.667,-45.707,2.500
