 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.165,86.252,51.667,135.483,89.201,79.961,56.575,3.119
2,0.149,92.439,67.000,140.667,89.201,79.935,-32.800,2.787
3,0.173,78.610,65.949,112.000,89.592,76.785,55.305,3.292
4,0.130,87.009,75.264,156.000,89.748,76.864,-32.005,2.456
5,0.201,71.429,45.919,186.667,97.452,87.093,7.907,3.784
6,0.141,75.209,60.590,136.333,97.348,87.145,-80.910,2.636
7,0.190,86.396,64.319,117.333,90.164,92.949,-32.535,3.581
8,0.149,96.231,81.229,160.667,90.425,92.871,51.009,2.813
9,0.168,94.905,71.958,149.711,82.642,94.641,29.511,3.170
10,0.144,96.927,73.761,152.667,82.564,94.641,-62.447,2.701
11,0.171,115.833,85.056,127.159,91.752,104.064,31.122,3.223
12,0.133,123.749,112.415,151.000,91.596,103.830,-58.627,2.500
13,0.179,104.605,83.129,135.169,105.053,99.118,27.350,3.399
14,0.136,106.536,81.477,151.667,105.053,99.066,-63.435,2.561
15,0.171,88.462,40.211,110.880,101.279,106.875,-7.472,3.203
16,0.136,94.280,60.000,129.000,101.357,106.745,-90.000,2.551
17,0.184,58.201,38.272,131.667,101.201,109.322,-30.379,3.500
18,0.144,62.347,45.667,133.333,101.175,109.426,58.465,2.687
19,0.160,101.819,82.293,117.101,107.760,89.956,20.323,2.998
20,0.138,111.596,91.060,177.569,107.760,90.060,-73.740,2.603
21,0.168,70.614,43.460,90.333,110.519,90.216,62.592,3.167
22,0.130,71.742,52.682,130.000,110.675,90.268,-25.463,2.422
