 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.182,89.022,57.789,105.608,33.229,82.514,35.042,4.115
2,0.119,98.097,83.465,134.333,33.229,82.689,-52.374,2.652
3,0.170,73.512,53.023,91.349,36.226,83.105,55.592,3.871
4,0.132,73.393,58.018,114.000,36.313,83.061,-37.208,2.966
5,0.174,96.580,74.069,110.333,32.047,89.580,-80.433,3.949
6,0.121,92.353,79.208,112.333,32.135,89.886,8.393,2.698
7,0.176,73.212,60.631,91.311,47.601,86.977,19.231,3.985
8,0.117,88.969,69.471,151.333,47.491,86.977,-69.444,2.617
9,0.172,79.395,59.793,90.941,37.123,97.083,-40.882,3.877
10,0.107,87.835,70.000,110.813,37.101,97.192,48.715,2.387
11,0.193,73.516,36.496,103.000,34.366,97.389,-64.463,4.364
12,0.111,68.582,51.000,84.767,34.322,97.389,22.543,2.511
13,0.165,58.977,46.504,100.414,31.938,98.439,-70.710,3.708
14,0.103,57.144,36.333,81.333,31.851,98.614,24.624,2.310
15,0.163,78.834,46.007,110.667,30.932,101.677,25.346,3.679
16,0.101,85.633,61.000,122.849,30.888,102.005,-64.916,2.270
17,0.147,69.398,53.552,78.737,31.260,104.302,24.880,3.328
18,0.111,76.103,57.025,151.333,31.326,104.433,-65.225,2.506
19,0.168,89.673,70.441,109.000,52.063,99.752,15.945,3.822
20,0.123,102.618,68.143,161.000,51.910,99.817,-70.408,2.740
21,0.172,92.892,75.704,139.667,43.773,108.699,-53.259,3.876
22,0.113,97.715,63.774,131.595,43.751,108.743,37.266,2.529
23,0.161,92.977,56.369,103.859,71.051,100.561,-95.505,3.648
24,0.107,92.756,76.723,132.667,71.008,100.583,-10.491,2.403
