 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.179,72.521,50.151,103.258,19.311,83.377,31.809,4.057
2,0.131,88.280,55.114,204.000,19.180,83.486,-55.146,2.978
3,0.177,88.603,56.382,106.991,23.457,81.304,15.092,4.023
4,0.145,104.218,93.050,115.333,23.523,81.479,-69.624,3.259
5,0.164,68.304,49.686,131.533,22.541,84.861,6.044,3.730
6,0.118,67.125,51.000,106.333,22.301,84.577,-78.690,2.670
7,0.128,101.539,70.331,181.366,20.031,86.650,-20.353,2.886
8,0.097,90.993,52.000,122.059,20.031,86.803,66.501,2.189
9,0.181,61.357,42.683,105.151,23.414,87.414,54.107,4.094
10,0.118,61.006,45.987,95.041,23.239,87.523,-39.685,2.665
11,0.130,90.327,55.667,109.856,25.399,89.050,25.796,2.908
12,0.107,100.977,80.915,123.333,25.399,89.116,-66.251,2.384
13,0.145,123.433,88.596,142.082,28.869,89.421,-30.311,3.286
14,0.114,131.929,125.316,173.828,28.934,89.399,56.853,2.554
15,0.139,81.653,69.047,98.431,23.457,91.560,21.209,3.136
16,0.112,82.984,61.287,161.000,23.435,91.516,-69.677,2.513
17,0.135,77.263,64.687,134.293,23.348,95.029,28.025,3.065
18,0.112,77.020,64.213,148.333,23.152,94.964,-59.886,2.523
19,0.154,67.389,50.996,128.667,41.612,86.999,-54.130,3.501
20,0.120,87.151,60.667,140.000,41.721,87.065,35.754,2.689
21,0.150,84.233,74.176,147.000,51.671,79.951,-43.958,3.395
22,0.107,90.314,77.426,141.000,51.519,80.082,50.194,2.386
23,0.158,63.833,54.105,80.000,48.747,69.106,-66.894,3.559
24,0.114,69.414,46.640,133.967,48.617,69.215,23.962,2.579
25,0.128,86.908,62.730,118.667,50.886,68.408,-74.055,2.859
26,0.099,87.341,46.667,140.667,50.973,68.561,11.310,2.225
