 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.166,85.393,58.150,157.000,101.987,78.036,40.914,3.107
2,0.139,99.328,67.475,155.333,101.882,78.166,-45.807,2.620
3,0.161,88.092,67.926,140.553,101.100,84.480,-35.882,3.027
4,0.123,95.585,86.014,127.667,101.074,84.324,54.162,2.317
5,0.180,97.099,59.692,164.641,114.197,85.863,-85.601,3.402
6,0.144,106.685,91.000,132.333,114.327,85.967,1.102,2.714
7,0.166,94.251,61.333,133.667,115.945,88.133,0.000,3.131
8,0.128,105.894,82.333,169.000,115.841,88.081,-90.000,2.400
9,0.182,92.389,50.333,114.634,98.360,93.351,21.161,3.469
10,0.139,107.638,96.200,155.667,98.204,93.507,-66.501,2.617
11,0.150,112.678,65.593,153.444,105.222,97.421,84.710,2.830
12,0.133,119.198,108.329,145.667,105.274,97.369,-12.011,2.507
13,0.177,83.388,70.580,115.886,104.257,99.743,-20.973,3.353
14,0.114,85.183,63.667,127.333,104.204,99.821,67.166,2.151
15,0.163,105.101,74.989,148.384,89.881,83.854,3.879,3.086
16,0.128,119.109,108.572,143.500,89.881,83.841,-84.976,2.383
17,0.191,105.735,66.022,148.168,83.815,91.538,46.181,3.580
18,0.133,117.602,96.344,135.667,83.671,91.616,-46.273,2.491
