 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.154,77.325,62.904,91.238,41.307,67.666,32.692,3.474
2,0.112,82.593,67.333,110.667,41.198,67.732,-56.310,2.518
3,0.137,94.494,59.667,112.491,42.398,69.826,19.708,3.106
4,0.109,94.077,60.000,150.000,42.332,70.001,-68.962,2.431
5,0.131,91.617,73.667,98.667,59.745,67.928,14.444,2.974
6,0.109,100.262,91.014,153.667,59.723,68.102,-72.216,2.429
7,0.147,76.660,43.285,126.149,40.696,79.777,-90.754,3.317
8,0.114,75.402,56.994,117.667,40.739,79.798,0.971,2.575
9,0.143,75.922,60.488,94.500,38.863,81.653,-71.811,3.216
10,0.093,79.768,52.358,110.667,38.863,81.762,13.173,2.107
11,0.149,93.668,68.144,138.793,41.503,82.744,21.251,3.371
12,0.109,91.175,56.333,119.667,41.372,82.744,-68.962,2.431
13,0.152,86.389,57.000,104.768,50.668,74.365,-8.746,3.444
14,0.114,91.684,80.929,112.667,50.777,74.452,77.367,2.594
15,0.154,73.756,65.567,84.583,55.163,76.176,25.925,3.494
16,0.099,79.257,58.333,99.694,55.097,76.154,-63.435,2.244
17,0.116,66.083,43.367,93.267,56.036,78.402,-2.862,2.622
18,0.105,71.435,61.667,82.000,56.145,78.336,-93.180,2.360
19,0.137,96.763,58.895,104.653,58.698,77.442,-35.256,3.100
20,0.093,112.510,70.667,160.507,58.785,77.551,51.710,2.113
21,0.160,86.562,60.333,116.667,58.327,80.169,4.135,3.632
22,0.114,84.821,52.000,138.333,58.218,80.147,-86.121,2.581
