 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.168,112.649,59.486,138.610,30.514,74.190,-15.313,3.802
2,0.130,124.898,114.642,161.526,30.623,74.059,-110.056,2.928
3,0.156,93.050,74.852,122.333,32.959,76.307,7.125,3.519
4,0.131,105.474,95.110,148.399,32.828,76.242,-79.846,2.971
5,0.137,81.976,63.895,129.000,32.784,84.449,-29.445,3.108
6,0.114,97.797,82.039,143.629,32.675,84.492,60.376,2.561
7,0.139,86.798,62.964,106.333,25.996,89.425,47.246,3.151
8,0.116,100.258,92.278,148.000,25.952,89.512,-38.211,2.611
9,0.143,100.006,78.001,113.175,31.911,95.995,-27.255,3.241
10,0.097,111.142,93.250,145.279,31.693,95.995,61.390,2.188
11,0.137,91.506,53.667,102.771,37.586,82.157,-40.426,3.097
12,0.101,94.338,72.667,119.667,37.455,82.353,52.028,2.270
13,0.166,108.633,85.667,120.235,39.529,80.585,-34.061,3.741
14,0.128,109.221,82.277,136.333,39.507,80.520,52.958,2.899
15,0.145,88.473,56.067,110.873,40.467,83.641,-61.390,3.282
16,0.112,99.586,87.000,152.971,40.467,83.706,34.509,2.543
17,0.160,102.462,76.054,114.525,44.854,84.252,-16.899,3.604
18,0.120,115.185,108.324,139.593,44.898,84.449,-107.850,2.706
19,0.131,61.998,42.091,123.333,51.555,88.989,-31.109,2.957
20,0.093,68.088,54.056,129.000,51.555,89.207,-117.096,2.109
