 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.160,68.034,50.333,84.288,35.375,80.683,-35.433,3.162
2,0.128,66.255,44.826,129.667,35.499,80.807,52.224,2.507
3,0.160,80.346,54.083,132.000,34.309,82.739,-43.112,3.190
4,0.120,79.647,66.038,132.667,34.136,82.888,51.710,2.399
5,0.174,79.834,63.013,164.360,24.896,91.781,74.168,3.450
6,0.125,71.537,64.638,101.667,24.970,91.632,-15.154,2.464
7,0.157,78.358,52.333,111.159,25.317,94.506,31.430,3.135
8,0.106,80.260,61.000,106.000,25.317,94.531,-58.570,2.090
9,0.155,64.110,52.458,95.000,36.688,98.767,27.801,3.081
10,0.128,80.679,68.191,127.667,36.514,98.866,-53.807,2.517
11,0.164,68.444,55.663,109.000,36.266,114.670,14.876,3.281
12,0.128,74.601,53.042,109.667,36.242,114.670,-75.141,2.512
13,0.177,106.393,70.577,132.667,39.264,112.936,-89.193,3.518
14,0.128,103.549,81.333,121.667,39.165,113.110,-2.246,2.529
15,0.157,92.885,56.534,118.289,69.957,84.151,-50.774,3.134
16,0.110,104.766,78.061,164.961,70.105,84.126,39.472,2.182
17,0.157,70.133,55.014,80.667,68.322,85.291,-45.644,3.118
18,0.108,73.954,62.404,119.333,68.272,85.415,56.310,2.144
19,0.177,77.689,52.480,115.667,66.984,87.594,-38.157,3.528
20,0.135,84.569,44.000,134.000,66.811,87.669,52.496,2.685
