 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.157,83.942,49.635,116.253,120.395,61.120,35.074,2.986
2,0.105,86.637,53.333,107.353,120.369,61.094,-51.340,1.998
3,0.168,92.576,44.321,152.876,120.473,63.798,70.974,3.190
4,0.127,111.162,97.852,154.311,120.473,63.876,-18.825,2.417
5,0.173,104.966,47.333,161.615,120.473,66.710,18.435,3.288
6,0.132,116.657,80.667,154.449,120.213,66.736,-77.989,2.498
7,0.151,76.679,48.333,94.904,112.024,67.698,38.333,2.850
8,0.114,83.891,62.333,144.000,111.998,67.594,-50.906,2.144
9,0.176,78.408,34.833,116.000,110.698,65.722,7.125,3.354
10,0.127,80.012,55.145,106.928,110.542,65.774,-85.030,2.401
11,0.176,82.777,25.333,158.865,106.980,74.977,61.032,3.328
12,0.141,95.729,78.902,154.029,106.980,75.081,-28.072,2.652
13,0.168,69.077,34.510,134.798,119.381,75.289,19.026,3.190
14,0.127,75.501,57.681,115.667,119.277,75.341,-66.801,2.376
15,0.141,97.719,57.571,182.333,122.033,76.017,128.660,2.663
16,0.105,108.105,103.273,118.000,121.825,76.017,38.660,1.998
17,0.184,84.841,61.700,102.941,127.180,76.329,30.379,3.496
18,0.130,92.328,60.797,131.333,127.284,76.433,-53.616,2.454
19,0.162,76.078,52.000,91.217,122.189,85.662,-68.199,3.080
20,0.122,79.676,68.592,116.333,122.215,85.818,22.521,2.308
21,0.168,90.583,27.667,108.366,120.291,90.030,-21.975,3.196
22,0.132,102.291,90.083,126.000,120.369,90.212,65.556,2.513
23,0.162,80.034,59.444,121.604,127.258,82.464,58.201,3.059
24,0.122,83.794,61.667,119.333,127.232,82.464,-35.838,2.309
25,0.154,75.523,51.202,112.405,129.728,83.504,6.116,2.928
26,0.122,90.306,76.333,114.333,129.702,83.452,-88.698,2.288
27,0.165,70.522,33.333,88.133,132.172,84.830,33.425,3.115
28,0.135,68.961,55.016,78.936,132.094,84.622,-53.366,2.527
29,0.162,84.363,46.226,134.018,132.484,87.326,12.633,3.091
30,0.143,83.519,46.397,130.302,132.484,87.222,-81.085,2.684
31,0.176,77.646,36.758,123.000,131.574,90.004,61.032,3.328
32,0.124,93.461,73.932,145.333,131.626,89.952,-23.703,2.328
33,0.173,90.022,50.248,120.058,125.296,99.083,22.096,3.283
34,0.138,100.098,77.657,138.583,125.224,99.207,-72.375,2.619
35,0.187,78.339,34.234,143.455,127.596,100.468,67.413,3.520
36,0.132,79.261,56.375,130.167,127.642,100.403,-20.591,2.513
37,0.154,94.309,67.556,120.002,107.548,89.679,33.359,2.915
38,0.111,103.113,90.000,129.111,107.409,89.648,-56.376,2.081
