 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.179,95.404,74.088,143.000,25.716,95.288,-69.775,3.787
2,0.129,101.515,91.311,131.333,25.575,95.335,22.166,2.726
3,0.205,80.688,61.221,118.667,23.471,113.850,25.463,4.350
4,0.140,94.176,81.457,133.333,23.331,114.037,-63.435,2.927
5,0.173,78.871,64.748,88.154,42.548,106.159,-12.609,3.641
6,0.118,90.637,71.333,142.099,42.524,106.229,-99.819,2.467
7,0.179,95.119,71.090,128.667,42.618,108.590,-17.987,3.785
8,0.114,100.094,88.841,110.744,42.805,108.777,-112.011,2.370
9,0.155,99.469,66.000,120.000,40.911,110.905,0.000,3.273
10,0.120,108.297,94.333,138.667,41.005,110.764,-90.000,2.525
11,0.175,89.618,55.177,111.084,55.102,89.374,0.725,3.694
12,0.125,96.781,85.262,124.333,55.102,89.070,-88.977,2.619
