"0","# ANOVA"
"0","mod_aov <- aov(w ~ Dose_f, data = subset(df_growth, Molecule == ""IMD"" & t == 0))"
"0","summary(mod_aov)"
"1","           "
"1"," Df"
"1"," Sum Sq"
"1"," Mean Sq"
"1"," F value"
"1","   Pr(>F)"
"1","    "
"1","
Dose_f     "
"1"," 10"
"1","  43112"
"1","    4311"
"1","   4.614"
"1"," 9.66e-05"
"1"," ***"
"1","
Residuals  "
"1"," 54"
"1","  50456"
"1","     934"
"1","        "
"1","         "
"1","    "
"1","
"
"1","---
Signif. codes:  "
"1",""
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
"0","dunnett_test <- glht(mod_aov, linfct = mcp(Dose_f = ""Dunnett""))"
"0","summary(dunnett_test)"
"1","
	"
"1"," "
"1","Simultaneous Tests for General Linear Hypotheses

"
"1","Multiple Comparisons of Means:"
"1"," "
"1","Dunnett"
"1"," "
"1","Contrasts


"
"1","Fit: "
"1","aov(formula = w ~ Dose_f, data = subset(df_growth, Molecule == 
"
"1","    ""IMD"" & t == 0))
"
"1","
"
"1","Linear Hypotheses:
"
"1","               "
"1"," Estimate"
"1"," Std. Error"
"1"," t value"
"1"," Pr(>|t|)"
"1","  "
"1","
0.0016 - 0 == 0"
"1","    24.98"
"1","      16.74"
"1","   1.492"
"1","   0.6838"
"1","  "
"1","
0.005 - 0 == 0 "
"1","    25.86"
"1","      16.74"
"1","   1.545"
"1","   0.6449"
"1","  "
"1","
0.016 - 0 == 0 "
"1","    23.62"
"1","      16.74"
"1","   1.411"
"1","   0.7419"
"1","  "
"1","
0.05 - 0 == 0  "
"1","    13.26"
"1","      16.74"
"1","   0.792"
"1","   0.9897"
"1","  "
"1","
0.158 - 0 == 0 "
"1","    -2.92"
"1","      16.74"
"1","  -0.174"
"1","   1.0000"
"1","  "
"1","
0.28 - 0 == 0  "
"1","   -46.08"
"1","      16.74"
"1","  -2.752"
"1","   0.0663"
"1"," ."
"1","
0.5 - 0 == 0   "
"1","   -16.51"
"1","      13.67"
"1","  -1.208"
"1","   0.8680"
"1","  "
"1","
0.89 - 0 == 0  "
"1","   -44.70"
"1","      16.74"
"1","  -2.670"
"1","   0.0809"
"1"," ."
"1","
1.581 - 0 == 0 "
"1","    17.42"
"1","      16.74"
"1","   1.040"
"1","   0.9399"
"1","  "
"1","
5 - 0 == 0     "
"1","    40.56"
"1","      16.74"
"1","   2.423"
"1","   0.1429"
"1","  "
"1","
"
"1","---
Signif. codes:  "
"1",""
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
"1","(Adjusted p values reported -- single-step method)"
"1","

"
