"","EPX","IMD","Ratio"
"1",0,0.46429429268909,0
"2",41.8700266813928,0.348220719516817,0.333333333333333
"3",83.7400533627855,0.232147146344545,1
"4",125.610080044178,0.116073573172273,3
"5",167.480106725571,0,Inf
"6",0,0.00261091867829099,0
"7",0.235452462897697,0.00195818900871824,0.333333333333333
"8",0.470904925795394,0.00130545933914549,1
"9",0.70635738869309,0.000652729669572747,3
"10",0.941809851590787,0,Inf
"11",0,0.0261091867829099,0
"12",2.35452462897697,0.0195818900871824,0.333333333333333
"13",4.70904925795394,0.0130545933914549,1
"14",7.0635738869309,0.00652729669572747,3
"15",9.41809851590787,0,Inf
"16",0,0.146822746951439,0
"17",13.2404650005222,0.110117060213579,0.333333333333333
"18",26.4809300010445,0.0734113734757194,1
"19",39.7213950015667,0.0367056867378597,3
"20",52.9618600020889,0,Inf
"21",0,0.261091867829099,0
"22",23.5452462897697,0.195818900871824,0.333333333333333
"23",47.0904925795394,0.130545933914549,1
"24",70.635738869309,0.0652729669572747,3
"25",94.1809851590787,0,Inf
"26",0,0.825644980887594,0
"27",74.456606345301,0.619233735665695,0.333333333333333
"28",148.913212690602,0.412822490443797,1
"29",223.369819035903,0.206411245221898,3
"30",297.826425381204,0,Inf
"31",0,1.46822746951439,0
"32",132.404650005222,1.10117060213579,0.333333333333333
"33",264.809300010445,0.734113734757194,1
"34",397.213950015667,0.367056867378597,3
"35",529.618600020889,0,Inf
